------------------- {0 120 4k 1} 1 16.699365144378454 51.44915254237288
------------------- {79 120 4k 1} 1 16.792419130779916 51.96610169491525
------------------- {158 120 4k 1} 1.0938261575954509 15.699025182778229 51.21186440677966
------------------- {316 120 4k 1} 1 16.567847194588143 52.40677966101695
------------------- {500 120 4k 1} 1 16.25232378001549 54.016949152542374
------------------- {700 120 4k 1} 1 15.876557191392978 54.52542372881356
------------------- {999 120 4k 1} 1 16.445706315999203 52.432203389830505
------------------- {1250 120 4k 1} 1 16.61726647796199 50.75423728813559
------------------- {1500 120 4k 1} 1 16.557795967258933 53.25423728813559
------------------- {2000 120 4k 1} 1 16.607739307535642 51.17796610169491
------------------- {0 120 4k 4} 1 31.58728225118772 111.17796610169492
------------------- {79 120 4k 4} 1 30.710388503227378 113.70338983050847
------------------- {158 120 4k 4} 1 29.438763087411736 119.96610169491525
------------------- {316 120 4k 4} 1 29.13436472164697 120.07627118644068
------------------- {500 120 4k 4} 1 28.501521606816798 125.49152542372882
------------------- {700 120 4k 4} 1 29.52671941570298 120.11864406779661
------------------- {999 120 4k 4} 1 28.972360891269936 122.86440677966101
------------------- {1250 120 4k 4} 1 29.680959922036788 118.94915254237289
------------------- {1500 120 4k 4} 1 30.520622946830514 117.92372881355932
------------------- {2000 120 4k 4} 1 29.44033122260107 119.46610169491525
------------------- {0 120 4k 16} 1 36.32852366068183 391.8474576271187
------------------- {79 120 4k 16} 1 35.498807854137446 395.93220338983053
------------------- {158 120 4k 16} 1 36.1246257211714 391.97457627118644
------------------- {316 120 4k 16} 1 35.951901365542454 397.79661016949154
------------------- {500 120 4k 16} 1 35.9991682939177 393.58474576271186
------------------- {700 120 4k 16} 1 35.50934579439252 393.52542372881356
------------------- {999 120 4k 16} 1 35.44607704291177 394.3135593220339
------------------- {1250 120 4k 16} 1 35.328813679328775 392.8813559322034
------------------- {1500 120 4k 16} 1 35.855764473033155 389.95762711864404
------------------- {2000 120 4k 16} 1 35.889217186999396 397.59322033898303
------------------- {0 120 4k 64} 1 52.599653724948 1047.822033898305
------------------- {79 120 4k 64} 1 57.0023385894613 1044.177966101695
------------------- {158 120 4k 64} 1 52.21222194760257 1048.7203389830509
------------------- {316 120 4k 64} 1 50.84315001627075 1071.135593220339
------------------- {500 120 4k 64} 1 52.67191370453076 1069.0338983050847
------------------- {700 120 4k 64} 1 52.92652823981895 1050.457627118644
------------------- {999 120 4k 64} 1 50.40549840453398 1085.1101694915253
------------------- {1250 120 4k 64} 1 49.1218588000093 1112.0677966101696
------------------- {1500 120 4k 64} 1 48.67003323958067 1125.7203389830509
------------------- {2000 120 4k 64} 1 48.72085962614597 1094.6610169491526
------------------- {0 120 4k 256} 1 108.76197624677843 2003.4830508474577
------------------- {79 120 4k 256} 1 104.61212937317319 2033.2457627118645
------------------- {158 120 4k 256} 1 103.3715698787492 2126.2542372881358
------------------- {316 120 4k 256} 1 104.6971684928622 2132.7457627118642
------------------- {500 120 4k 256} 1 103.93853625537672 2074.8050847457625
