DiskType,IOType,ObjectSize,IODepth,RecoverLimit,r_iops,r_bw(MB/s),r_lat_avg(ms),r_lat_95(ms),r_lat_99(ms),w_iops,w_bw(MB/s),w_lat_avg(ms),w_lat_95(ms),w_lat_99(ms)
hdd,randread,4k,16,1,358,1.4,44.6,142,215,,,,,
hdd,randread,4k,16,158,261,1.02,61.15,205,351,,,,,
hdd,randread,4k,16,316,181,0.71,87.99,305,506,,,,,
hdd,randread,4k,16,500,208,0.81,76.76,262,414,,,,,
hdd,randread,4k,16,600,112,0.44,142.77,468,718,,,,,
hdd,randread,4k,32,1,404,1.58,79.13,262,435,,,,,
hdd,randread,4k,32,158,264,1.03,121.17,439,709,,,,,
hdd,randread,4k,32,316,256,1,124.55,418,634,,,,,
hdd,randread,4k,32,500,152,0.59,210.48,743,1099,,,,,
hdd,randread,4k,32,600,123,0.48,259.22,810,1217,,,,,
hdd,randread,4k,64,1,431,1.68,148.46,600,1036,,,,,
hdd,randread,4k,64,158,418,1.63,152.9,567,885,,,,,
hdd,randread,4k,64,316,201,0.79,317.02,1133,1670,,,,,
hdd,randread,4k,64,500,154,0.61,412.94,1401,1972,,,,,
hdd,randread,4k,64,600,144,0.57,441.86,1418,2056,,,,,
hdd,randread,4k,128,1,531,2.08,240.73,1150,1536,,,,,
hdd,randread,4k,128,158,301,1.18,423.94,1485,2022,,,,,
hdd,randread,4k,128,316,217,0.85,587.36,2056,2970,,,,,
hdd,randread,4k,128,500,177,0.69,720.32,2333,3037,,,,,
hdd,randread,4k,128,600,221,0.87,577.26,2123,3339,,,,,
hdd,randread,4k,256,1,431,1.69,593.4,2668,3272,,,,,
hdd,randread,4k,256,158,317,1.24,805.34,3842,5000,,,,,
hdd,randread,4k,256,316,230,0.9,1109.08,5537,7349,,,,,
hdd,randread,4k,256,500,267,1.04,958.73,3876,5000,,,,,
hdd,randread,4k,256,600,182,0.71,1400.83,6007,7148,,,,,
hdd,randread,32k,1,1,94,2.95,10.6,31.85,38.01,,,,,
hdd,randread,32k,1,158,91,2.87,10.89,28.97,36.96,,,,,
hdd,randread,32k,1,316,120,3.78,8.27,11.6,42.73,,,,,
hdd,randread,32k,1,500,70,2.21,14.16,33.16,106.43,,,,,
hdd,randread,32k,1,600,65,2.06,15.16,35.39,115.87,,,,,
hdd,randread,32k,8,1,292,9.15,27.33,81,126,,,,,
hdd,randread,32k,8,158,330,10.3,24.17,65,130,,,,,
hdd,randread,32k,8,316,177,5.53,45.17,148,296,,,,,
hdd,randread,32k,8,500,142,4.45,56.2,197,351,,,,,
hdd,randread,32k,8,600,95,2.98,83.95,305,481,,,,,
hdd,randread,32k,16,1,458,14.3,34.86,96,136,,,,,
hdd,randread,32k,16,158,242,7.59,65.89,228,393,,,,,
hdd,randread,32k,16,316,172,5.38,92.91,321,535,,,,,
hdd,randread,32k,16,500,136,4.28,116.91,409,625,,,,,
hdd,randread,32k,16,600,164,5.13,97.4,309,456,,,,,
hdd,randread,32k,32,1,384,12,83.21,292,430,,,,,
hdd,randread,32k,32,158,254,7.96,125.59,456,743,,,,,
hdd,randread,32k,32,316,187,5.85,170.8,575,818,,,,,
hdd,randread,32k,32,500,209,6.54,152.95,510,776,,,,,
hdd,randread,32k,32,600,124,3.88,258,785,1116,,,,,
hdd,randread,32k,64,1,400,12.5,159.86,617,969,,,,,
hdd,randread,32k,64,158,267,8.36,239.17,852,1385,,,,,
hdd,randread,32k,64,316,288,9,222.14,768,1183,,,,,
hdd,randread,32k,64,500,156,4.9,408.11,1452,1989,,,,,
hdd,randread,32k,64,600,139,4.37,457.97,1485,2601,,,,,
hdd,randread,32k,128,1,413,12.9,309.7,1770,3004,,,,,
hdd,randread,32k,128,158,420,13.1,304.61,1385,1955,,,,,
hdd,randread,32k,128,316,212,6.64,601.94,2165,3339,,,,,
hdd,randread,32k,128,500,171,5.35,747.84,2601,4463,,,,,
hdd,randread,32k,128,600,162,5.07,789.1,2735,4799,,,,,
hdd,randread,32k,256,1,515,16.1,496.26,3205,3540,,,,,
hdd,randread,32k,256,158,308,9.64,829.81,3809,5336,,,,,
hdd,randread,32k,256,316,241,7.54,1060.83,3775,5671,,,,,
hdd,randread,32k,256,500,203,6.37,1256.22,4665,6409,,,,,
hdd,randread,32k,256,600,229,7.16,1117.44,5604,8490,,,,,
hdd,randread,64k,1,1,89,5.56,11.23,32.64,38.54,,,,,
hdd,randread,64k,1,158,84,5.28,11.82,30.02,38.01,,,,,
hdd,randread,64k,1,316,79,4.94,12.64,30.8,80.22,,,,,
hdd,randread,64k,1,500,106,6.67,9.37,16.71,76.02,,,,,
hdd,randread,64k,1,600,64,4.03,15.49,35.91,117.97,,,,,
hdd,randread,64k,8,1,286,17.9,27.88,81,124,,,,,
hdd,randread,64k,8,158,218,13.7,36.62,115,211,,,,,
hdd,randread,64k,8,316,245,15.3,32.63,103,205,,,,,
hdd,randread,64k,8,500,116,7.27,68.78,255,422,,,,,
hdd,randread,64k,8,600,123,7.69,65.03,230,376,,,,,
hdd,randread,64k,16,1,345,21.6,46.25,150,230,,,,,
hdd,randread,64k,16,158,351,21,45.51,140,236,,,,,
hdd,randread,64k,16,316,171,10.7,93.15,317,510,,,,,
hdd,randread,64k,16,500,129,8.12,123.23,414,609,,,,,
hdd,randread,64k,16,600,119,7.49,133.48,430,617,,,,,
hdd,randread,64k,32,1,469,29.4,68.11,222,317,,,,,
hdd,randread,64k,32,158,247,15.4,129.47,456,709,,,,,
hdd,randread,64k,32,316,192,12,166.44,592,877,,,,,
hdd,randread,64k,32,500,148,9.28,215.4,768,1167,,,,,
hdd,randread,64k,32,600,187,11.7,170.93,506,776,,,,,
hdd,randread,64k,64,1,380,23.8,168,651,978,,,,,
hdd,randread,64k,64,158,259,16.2,246.99,894,1351,,,,,
hdd,randread,64k,64,316,196,12.3,325.66,1116,1653,,,,,
hdd,randread,64k,64,500,213,13.3,299.72,1070,1569,,,,,
hdd,randread,64k,64,600,142,8.92,448.28,1452,2089,,,,,
hdd,randread,64k,128,1,390,24.4,327.43,1334,2165,,,,,
hdd,randread,64k,128,158,281,17.6,454.17,1620,2937,,,,,
hdd,randread,64k,128,316,305,19.1,418.62,1770,2333,,,,,
hdd,randread,64k,128,500,178,11.2,716.31,2400,3339,,,,,
hdd,randread,64k,128,600,172,10.8,739.95,2500,4044,,,,,
hdd,randread,64k,256,1,407,25.5,628.58,3272,3708,,,,,
hdd,randread,64k,256,158,407,25.5,627.92,3842,4530,,,,,
hdd,randread,64k,256,316,237,14.8,1079.62,4010,5067,,,,,
hdd,randread,64k,256,500,205,12.9,1243.36,3742,4597,,,,,
hdd,randread,64k,256,600,191,11,1336.69,4530,6141,,,,,
hdd,randread,256k,1,1,95,23.8,10.5,21.63,28.18,,,,,
hdd,randread,256k,1,158,60,15.1,16.54,37,62,,,,,
hdd,randread,256k,1,316,55,13.9,17.94,42,93,,,,,
hdd,randread,256k,1,500,48,12.1,20.66,51,121,,,,,
hdd,randread,256k,1,600,71,17.8,14.01,33,101,,,,,
hdd,randread,256k,8,1,216,54,37.03,108,167,,,,,
hdd,randread,256k,8,158,153,38.3,52.24,161,300,,,,,
hdd,randread,256k,8,316,122,30.6,65.34,224,414,,,,,
hdd,randread,256k,8,500,139,34.8,57.5,201,342,,,,,
hdd,randread,256k,8,600,81,20.4,97.92,334,518,,,,,
hdd,randread,256k,16,1,254,63.5,62.98,201,317,,,,,
hdd,randread,256k,16,158,176,44.2,90.59,300,489,,,,,
hdd,randread,256k,16,316,195,48.8,82.04,259,439,,,,,
hdd,randread,256k,16,500,96,24.1,165.81,514,860,,,,,
hdd,randread,256k,16,600,79,19.8,202.12,625,936,,,,,
hdd,randread,256k,32,1,276,69.2,115.68,418,693,,,,,
hdd,randread,256k,32,158,272,68.1,117.49,380,709,,,,,
hdd,randread,256k,32,316,144,36.1,221.87,776,1385,,,,,
hdd,randread,256k,32,500,109,27.3,292.85,953,1670,,,,,
hdd,randread,256k,32,600,96,24,332.58,1036,1921,,,,,
hdd,randread,256k,64,1,357,89.5,178.82,776,1070,,,,,
hdd,randread,256k,64,158,192,48.2,331.83,1083,1938,,,,,
hdd,randread,256k,64,316,155,38.9,411.33,1435,2165,,,,,
hdd,randread,256k,64,500,122,30.7,521.73,1569,2265,,,,,
hdd,randread,256k,64,600,157,39.4,405.96,1368,2198,,,,,
hdd,randread,256k,128,1,284,71,450.62,1787,3473,,,,,
hdd,randread,256k,128,158,209,52.3,611.8,2140,4396,,,,,
hdd,randread,256k,128,316,165,41.4,773.51,3037,6141,,,,,
hdd,randread,256k,128,500,181,45.3,705.78,2534,4396,,,,,
hdd,randread,256k,128,600,127,31.8,1006.24,5000,10000,,,,,
hdd,randread,256k,256,1,280,70.1,912.91,6342,8658,,,,,
hdd,randread,256k,256,158,199,49.9,1283.73,8792,11745,,,,,
hdd,randread,256k,256,316,235,58.8,1088.45,4665,6342,,,,,
hdd,randread,256k,256,500,135,33.9,1888.63,11208,13221,,,,,
hdd,randread,256k,256,600,128,32.2,1984.27,12147,14563,,,,,
hdd,randwrite,4k,1,1,,,,,,38,0.15,26.09,57,186
hdd,randwrite,4k,1,158,,,,,,29,0.12,33.56,155,313
hdd,randwrite,4k,1,316,,,,,,28,0.11,34.67,150,309
hdd,randwrite,4k,1,500,,,,,,29,0.11,34.44,167,334
hdd,randwrite,4k,1,600,,,,,,18,0.07,52.76,232,477
hdd,randwrite,4k,8,1,,,,,,109,0.43,73.23,228,288
hdd,randwrite,4k,8,158,,,,,,86,0.34,92.77,259,523
hdd,randwrite,4k,8,316,,,,,,112,0.44,71.24,247,468
hdd,randwrite,4k,8,500,,,,,,44,0.18,178.17,558,877
hdd,randwrite,4k,8,600,,,,,,26,0.1,304.07,768,1250
hdd,randwrite,4k,16,1,,,,,,151,0.59,105.68,271,326
hdd,randwrite,4k,16,158,,,,,,169,0.66,94.28,268,460
hdd,randwrite,4k,16,316,,,,,,67,0.26,238.1,684,986
hdd,randwrite,4k,16,500,,,,,,41,0.16,381.92,936,1351
hdd,randwrite,4k,16,600,,,,,,47,0.19,335.58,885,1351
hdd,randwrite,4k,32,1,,,,,,227,0.89,140.9,300,355
hdd,randwrite,4k,32,158,,,,,,143,0.56,222.44,567,927
hdd,randwrite,4k,32,316,,,,,,113,0.44,282.96,751,1053
hdd,randwrite,4k,32,500,,,,,,70,0.28,452.82,1062,1552
hdd,randwrite,4k,32,600,,,,,,74,0.29,432.23,885,1301
hdd,randwrite,4k,64,1,,,,,,200,0.79,318.47,600,776
hdd,randwrite,4k,64,158,,,,,,158,0.62,404.19,944,1284
hdd,randwrite,4k,64,316,,,,,,120,0.47,529.78,1183,1569
hdd,randwrite,4k,64,500,,,,,,181,0.71,353.19,701,919
hdd,randwrite,4k,64,600,,,,,,65,0.25,979,1938,2534
hdd,randwrite,4k,128,1,,,,,,213,0.83,599.86,1200,1620
hdd,randwrite,4k,128,158,,,,,,177,0.69,722.77,1603,2106
hdd,randwrite,4k,128,316,,,,,,217,0.85,588.2,1099,1469
hdd,randwrite,4k,128,500,,,,,,92,0.36,1376.49,2769,3507
hdd,randwrite,4k,128,600,,,,,,91,0.36,1403.06,2702,3373
hdd,randwrite,4k,256,1,,,,,,233,0.91,1097.13,2534,3742
hdd,randwrite,4k,256,158,,,,,,240,0.94,1062.24,2232,3608
hdd,randwrite,4k,256,316,,,,,,158,0.62,1618.82,3239,4396
hdd,randwrite,4k,256,500,,,,,,134,0.53,1898.25,3641,4665
hdd,randwrite,4k,256,600,,,,,,125,0.49,2043.41,4144,5134
hdd,randwrite,32k,1,1,,,,,,51,1.6,19.48,27,167
hdd,randwrite,32k,1,158,,,,,,34,1.09,28.68,67,218
hdd,randwrite,32k,1,316,,,,,,19,0.62,50.56,215,435
hdd,randwrite,32k,1,500,,,,,,24,0.78,40.05,192,355
hdd,randwrite,32k,1,600,,,,,,20,0.65,48.21,234,405
hdd,randwrite,32k,8,1,,,,,,115,3.62,69.13,228,275
hdd,randwrite,32k,8,158,,,,,,128,4.01,62.39,218,334
hdd,randwrite,32k,8,316,,,,,,82,2.56,97.53,309,535
hdd,randwrite,32k,8,500,,,,,,61,1.93,129.53,443,684
hdd,randwrite,32k,8,600,,,,,,42,1.33,187.18,600,751
hdd,randwrite,32k,16,1,,,,,,149,4.67,107.07,275,326
hdd,randwrite,32k,16,158,,,,,,156,4.89,102.23,279,447
hdd,randwrite,32k,16,316,,,,,,89,2.79,179.31,542,768
hdd,randwrite,32k,16,500,,,,,,41,1.29,385.95,877,1217
hdd,randwrite,32k,16,600,,,,,,67,2.1,238.24,642,768
hdd,randwrite,32k,32,1,,,,,,164,5.15,194.31,368,456
hdd,randwrite,32k,32,158,,,,,,171,5.34,187.08,460,751
hdd,randwrite,32k,32,316,,,,,,103,3.23,309.66,743,1003
hdd,randwrite,32k,32,500,,,,,,141,4.43,225.51,558,701
hdd,randwrite,32k,64,158,,,,,,198,6.21,321.87,625,835
hdd,randwrite,32k,64,316,,,,,,130,4.08,490.77,1003,1334
hdd,randwrite,32k,64,500,,,,,,67,2.11,947.02,1871,2400
hdd,randwrite,32k,64,600,,,,,,100,3.15,635.76,1083,1318
hdd,randwrite,32k,128,1,,,,,,199,6.23,642.33,1070,1452
hdd,randwrite,32k,128,158,,,,,,203,6.36,628.97,1116,1385
hdd,randwrite,32k,128,316,,,,,,123,3.85,1037.67,2005,2635
hdd,randwrite,32k,128,500,,,,,,119,3.73,1071.42,1955,2467
hdd,randwrite,32k,128,600,,,,,,82,2.57,1555.03,3037,4111
hdd,randwrite,32k,256,1,,,,,,235,7.35,1087.71,2433,4111
hdd,randwrite,32k,256,158,,,,,,162,5.07,1578.28,3473,4665
hdd,randwrite,32k,256,316,,,,,,171,5.35,1494.06,3608,4799
hdd,randwrite,32k,256,500,,,,,,119,3.75,2134.39,4933,7013
hdd,randwrite,32k,256,600,,,,,,112,3.51,2278.74,9597,10939
hdd,randwrite,64k,1,1,,,,,,23,1.49,41.86,51,83
hdd,randwrite,64k,1,158,,,,,,18,1.17,53.27,91,376
hdd,randwrite,64k,1,316,,,,,,14,0.91,69.05,266,542
hdd,randwrite,64k,1,500,,,,,,16,1.01,61.98,203,317
hdd,randwrite,64k,1,600,,,,,,14,0.93,67.14,220,342
hdd,randwrite,64k,8,1,,,,,,65,4.09,122.13,192,266
hdd,randwrite,64k,8,158,,,,,,54,3.38,147.86,393,726
hdd,randwrite,64k,8,316,,,,,,43,2.69,185.52,592,877
hdd,randwrite,64k,8,500,,,,,,36,2.29,218.22,523,709
hdd,randwrite,64k,8,600,,,,,,20,1.26,395.43,835,1284
hdd,randwrite,64k,16,1,,,,,,117,7.34,136.16,222,288
hdd,randwrite,64k,16,158,,,,,,92,5.77,173.27,460,852
hdd,randwrite,64k,16,316,,,,,,63,3.98,251.32,659,1036
hdd,randwrite,64k,16,500,,,,,,38,2.43,412.2,911,1720
hdd,randwrite,64k,16,600,,,,,,30,1.93,517.68,1133,1536
hdd,randwrite,64k,32,1,,,,,,167,10.4,191.39,309,401
hdd,randwrite,64k,32,158,,,,,,126,7.92,252.67,667,1150
hdd,randwrite,64k,32,316,,,,,,74,4.66,429.43,961,2299
hdd,randwrite,64k,32,500,,,,,,50,3.15,635.04,1435,2500
hdd,randwrite,64k,32,600,,,,,,36,2.27,881.45,1620,2039
hdd,randwrite,64k,64,1,,,,,,202,12.7,315.58,558,768
hdd,randwrite,64k,64,158,,,,,,144,9.04,442.49,1133,1770
hdd,randwrite,64k,64,316,,,,,,99,6.2,645.39,1569,3809
hdd,randwrite,64k,64,500,,,,,,81,5.08,786.44,1854,4245
hdd,randwrite,64k,64,600,,,,,,67,4.19,955.1,1720,2198
hdd,randwrite,64k,128,1,,,,,,219,13.7,583.47,1150,1703
hdd,randwrite,64k,128,158,,,,,,158,9.88,809.69,1905,2769
hdd,randwrite,64k,128,316,,,,,,125,7.83,1020.99,2735,5403
hdd,randwrite,64k,128,500,,,,,,89,5.61,1426.92,3473,9329
hdd,randwrite,64k,128,600,,,,,,87,5.48,1460.61,3540,4732
hdd,randwrite,64k,256,1,,,,,,226,14.2,1127.86,2735,3977
hdd,randwrite,64k,256,158,,,,,,173,10.8,1479.2,3775,8087
hdd,randwrite,64k,256,316,,,,,,141,8.81,1814.9,6342,10671
hdd,randwrite,64k,256,500,,,,,,105,6.61,2421.71,8792,12416
hdd,randwrite,64k,256,600,,,,,,105,6.6,2425.2,6678,10402
hdd,randwrite,256k,1,1,,,,,,19,4.94,50.65,67,109
hdd,randwrite,256k,1,158,,,,,,17,4.39,56.88,93,262
hdd,randwrite,256k,1,316,,,,,,15,3.88,64.48,159,317
hdd,randwrite,256k,1,500,,,,,,7,1.93,129.31,468,676
hdd,randwrite,256k,1,600,,,,,,12,3.07,81.3,259,363
hdd,randwrite,256k,8,1,,,,,,57,14.3,140.08,226,275
hdd,randwrite,256k,8,158,,,,,,40,10.2,196.85,550,911
hdd,randwrite,256k,8,316,,,,,,27,6.96,287.25,760,1200
hdd,randwrite,256k,8,500,,,,,,21,5.32,375.93,793,1653
hdd,randwrite,256k,8,600,,,,,,20,5.15,388.48,785,1200
hdd,randwrite,256k,16,1,,,,,,70,17.7,225.97,355,447
hdd,randwrite,256k,16,158,,,,,,55,13.9,288.12,793,1267
hdd,randwrite,256k,16,316,,,,,,51,12.9,308.95,676,986
hdd,randwrite,256k,16,500,,,,,,25,6.39,625.71,1318,2165
hdd,randwrite,256k,16,600,,,,,,16,4.01,996.92,1821,2265
hdd,randwrite,256k,32,1,,,,,,85,21.5,372.8,625,835
hdd,randwrite,256k,32,158,,,,,,70,17.6,454.5,1020,1401
hdd,randwrite,256k,32,500,,,,,,32,8.21,974.28,2022,5067
hdd,randwrite,256k,32,600,,,,,,24,6.21,1288.37,2265,2836
hdd,randwrite,256k,64,1,,,,,,95,23.8,672.53,1217,1720
hdd,randwrite,256k,64,158,,,,,,78,19.7,810.59,1787,2567
hdd,randwrite,256k,64,316,,,,,,59,14.9,1076.61,2635,5738
hdd,randwrite,256k,64,500,,,,,,42,10.6,1502.42,3775,7349
hdd,randwrite,256k,64,600,,,,,,38,9.7,1648.5,3373,4530
hdd,randwrite,256k,128,1,,,,,,101,25.5,1256.25,3876,6409
hdd,randwrite,256k,128,158,,,,,,78,19.6,1630,5000,7752
hdd,randwrite,256k,128,316,,,,,,63,15,2001.38,5201,12147
hdd,randwrite,256k,128,500,,,,,,49,12.5,2564.03,9329,14563
hdd,randwrite,256k,128,600,,,,,,56,14.1,2265.32,9194,11342
hdd,randwrite,256k,256,1,,,,,,101,25.4,2516.35,12416,14697
hdd,randwrite,256k,256,158,,,,,,79,19.9,3217.64,9731,13489
hdd,randwrite,256k,256,316,,,,,,69,17.4,3680.12,12013,14966
hdd,randwrite,256k,256,500,,,,,,59,14.8,4314.44,15100,17113
hdd,randwrite,256k,256,600,,,,,,66,16.7,3835.66,16308,17113
hdd,randwrite,1M,1,1,,,,,,15,15.2,65.89,94,126
hdd,randwrite,1M,1,158,,,,,,12,12.2,82.05,192,523
hdd,randwrite,1M,1,316,,,,,,10,10.2,98.48,351,510
hdd,randwrite,1M,1,500,,,,,,6,6.12,163.34,435,617
hdd,randwrite,1M,1,600,,,,,,8,8.85,112.95,305,422
hdd,randwrite,1M,8,1,,,,,,34,34.2,233.84,368,464
hdd,randwrite,1M,8,158,,,,,,29,29.1,275.27,642,927
hdd,randwrite,1M,8,316,,,,,,22,22.7,352.17,785,1062
hdd,randwrite,1M,8,500,,,,,,13,13.3,601.61,1267,1938
hdd,randwrite,1M,8,600,,,,,,10,10.3,777.68,1502,1905
hdd,randwrite,1M,16,1,,,,,,42,42.7,374.57,634,818
hdd,randwrite,1M,16,158,,,,,,34,34.7,460.85,953,1334
hdd,randwrite,1M,16,316,,,,,,23,23.1,691.74,1435,1938
hdd,randwrite,1M,16,500,,,,,,14,14,1069.7,2089,4329
hdd,randwrite,1M,16,600,,,,,,18,18.3,873.66,1620,2140
hdd,randwrite,1M,32,1,,,,,,45,45.1,709.28,1284,1871
hdd,randwrite,1M,32,158,,,,,,36,36.1,887.2,1703,2232
hdd,randwrite,1M,32,316,,,,,,26,26.4,1212.54,2567,3910
hdd,randwrite,1M,32,500,,,,,,20,20.3,1576.69,4044,6409
hdd,randwrite,1M,32,600,,,,,,20,20.4,1568.03,3171,4329
hdd,randwrite,1M,64,1,,,,,,44,44.6,1434.42,3775,5604
hdd,randwrite,1M,64,158,,,,,,35,35.4,1809.33,4597,7148
hdd,randwrite,1M,64,316,,,,,,31,31,2000.05,5134,6812
hdd,randwrite,1M,64,500,,,,,,26,26.5,2414.17,7617,11208
hdd,randwrite,1M,64,600,,,,,,24,24.2,2639.39,6946,10671
hdd,randwrite,1M,128,1,,,,,,44,44.7,2862.65,6812,8154
hdd,randwrite,1M,128,158,,,,,,37,37,3456.99,8926,15100
hdd,randwrite,1M,128,316,,,,,,33,33,3768.01,11745,14966
hdd,randwrite,1M,128,500,,,,,,26,26.7,4798.67,15771,17113
hdd,randwrite,1M,128,600,,,,,,28,28.4,4499.96,12147,17113
hdd,randwrite,1M,256,1,,,,,,46,46.7,5483.95,10671,14295
hdd,randwrite,1M,256,158,,,,,,38,38.2,6701.56,13892,16845
hdd,randwrite,1M,256,316,,,,,,30,30.7,8321.17,17113,17113
hdd,randwrite,1M,256,500,,,,,,30,30.2,8474.93,17113,17113
hdd,randwrite,1M,256,600,,,,,,27,27.6,9255.7,17113,17113
hdd,randwrite,2M,1,1,,,,,,13,26,76.85,103,132
hdd,randwrite,2M,1,316,,,,,,8,16.2,123.15,388,567
hdd,randwrite,2M,1,500,,,,,,6,12.6,158.47,460,617
hdd,randwrite,2M,1,600,,,,,,2,5.36,373.23,802,1028
hdd,randwrite,2M,8,1,,,,,,25,50.8,314.93,510,642
hdd,randwrite,2M,8,158,,,,,,20,41.3,387.57,818,1083
hdd,randwrite,2M,8,316,,,,,,17,34.9,458.47,894,1083
hdd,randwrite,2M,8,500,,,,,,11,22.1,724.57,1552,1938
hdd,randwrite,2M,8,600,,,,,,8,16.2,985.58,1804,2165
hdd,randwrite,2M,16,1,,,,,,27,55.4,577.93,969,1234
hdd,randwrite,2M,16,158,,,,,,23,46.6,686.14,1301,1754
hdd,randwrite,2M,16,316,,,,,,16,33.7,950.52,1871,2467
hdd,randwrite,2M,16,500,,,,,,12,25.8,1238.22,2400,3406
hdd,randwrite,2M,16,600,,,,,,10,21.2,1507.95,2635,3272
hdd,randwrite,2M,32,1,,,,,,29,58.7,1090.34,2265,4396
hdd,randwrite,2M,32,158,,,,,,23,46,1361.56,2802,3977
hdd,randwrite,2M,32,316,,,,,,20,40.5,1580.46,3406,5940
hdd,randwrite,2M,32,500,,,,,,15,30.8,2079.87,4933,7617
hdd,randwrite,2M,32,600,,,,,,14,29,2203.05,5940,10268
hdd,randwrite,2M,64,1,,,,,,28,57.1,2240.76,5201,8288
hdd,randwrite,2M,64,158,,,,,,23,47.5,2691.92,6678,8658
hdd,randwrite,2M,64,316,,,,,,20,41.6,3076.23,7684,15100
hdd,randwrite,2M,64,500,,,,,,18,36.7,3482.92,9731,14429
hdd,randwrite,2M,64,600,,,,,,16,33.5,3823,10268,12416
hdd,randwrite,2M,128,1,,,,,,28,57.7,4436.53,8154,11745
hdd,randwrite,2M,128,158,,,,,,23,47.5,5381.88,9060,12013
hdd,randwrite,2M,128,316,,,,,,20,41.3,6194.76,12550,17113
hdd,randwrite,2M,128,500,,,,,,17,34.6,7381.9,15503,17113
hdd,randwrite,2M,128,600,,,,,,15,31.6,8082.25,17113,17113
hdd,randwrite,2M,256,1,,,,,,28,56.6,9034.74,14966,17113
hdd,randwrite,2M,256,158,,,,,,24,49.2,10394.3,16845,17113
hdd,randwrite,2M,256,316,,,,,,19,39.2,13055.95,17113,17113
hdd,randwrite,2M,256,500,,,,,,17,34.1,14998.49,17113,17113
hdd,randwrite,2M,256,600,,,,,,16,33.1,15466.04,17113,17113
hdd,randwrite,4M,1,1,,,,,,10,41.8,95.69,131,165
hdd,randwrite,4M,1,158,,,,,,7,31,125.01,338,527
hdd,randwrite,4M,1,316,,,,,,6,27.4,145.79,426,592
hdd,randwrite,4M,1,500,,,,,,6,27,148.05,359,510
hdd,randwrite,4M,1,600,,,,,,3,13.3,301.53,609,1183
hdd,randwrite,4M,8,1,,,,,,16,67.1,476.6,785,1036
hdd,randwrite,4M,8,158,,,,,,13,55.9,571.96,1133,1519
hdd,randwrite,4M,8,316,,,,,,11,44.5,719.42,1351,1687
hdd,randwrite,4M,8,500,,,,,,7,30.1,1062.64,1921,2702
hdd,randwrite,4M,8,600,,,,,,6,26.7,1195.3,2165,2735
hdd,randwrite,4M,16,1,,,,,,17,69.3,923.61,1586,2056
hdd,randwrite,4M,16,158,,,,,,14,57.9,1104.98,2056,2635
hdd,randwrite,4M,16,316,,,,,,11,47.6,1342.64,2534,3440
hdd,randwrite,4M,16,500,,,,,,8,35,1778.69,3708,8087
hdd,randwrite,4M,16,600,,,,,,8,33.1,1932.8,4732,8356
hdd,randwrite,4M,32,1,,,,,,17,68.3,1872.69,3675,5537
hdd,randwrite,4M,32,158,,,,,,14,57.9,2207.99,4665,6275
hdd,randwrite,4M,32,316,,,,,,12,50.5,2531.33,5134,7886
hdd,randwrite,4M,32,500,,,,,,9,39.4,3245.39,10134,14832
hdd,randwrite,4M,32,600,,,,,,10,40.7,3139.8,8926,12684
hdd,randwrite,4M,64,1,,,,,,17,68,3761.04,6007,8423
hdd,randwrite,4M,64,158,,,,,,14,57.8,4425.06,7148,11342
hdd,randwrite,4M,64,316,,,,,,12,50.3,5086,8926,10939
hdd,randwrite,4M,64,500,,,,,,10,40.1,6384.27,10805,17113
hdd,randwrite,4M,64,600,,,,,,9,39.3,6506.3,12416,17113
hdd,randwrite,4M,128,1,,,,,,17,68.5,7462.71,11476,17113
hdd,randwrite,4M,128,158,,,,,,14,56.8,9001.83,12818,17113
hdd,randwrite,4M,128,316,,,,,,12,49.1,10403.72,15637,17113
hdd,randwrite,4M,128,500,,,,,,9,39.5,12928.59,17113,17113
hdd,randwrite,4M,128,600,,,,,,9,37,13459.29,17113,17113
hdd,randwrite,4M,256,1,,,,,,17,68.2,14981.75,17113,17113
hdd,randwrite,4M,256,158,,,,,,13,55.7,18355.3,17113,17113
hdd,randwrite,4M,256,316,,,,,,12,49.1,20804.12,17113,17113
hdd,randwrite,4M,256,500,,,,,,8,35.2,29063.56,17113,17113
hdd,randwrite,4M,256,600,,,,,,9,37,26910.66,17113,17113
hdd,rw,4k,1,1,96,0.38,1.33,2.74,12.52,97,0.38,8.97,23,31
hdd,rw,4k,1,158,74,0.29,1.57,3.49,13.7,74,0.29,11.91,26,103
hdd,rw,4k,1,316,59,0.23,1.72,3.72,14.62,59,0.23,15.12,36,205
hdd,rw,4k,1,500,27,0.11,3.32,9.11,36.96,27,0.11,33.14,155,527
hdd,rw,4k,1,600,14,0.06,3.03,12.12,39.58,14,0.06,64.9,186,243
hdd,rw,4k,8,1,198,0.77,17.85,46.4,65.8,197,0.77,22.56,55,77
hdd,rw,4k,8,158,135,0.53,25.87,60.03,233.83,135,0.53,33.07,74,359
hdd,rw,4k,8,316,77,0.3,45.34,202.38,583.01,77,0.3,58.34,279,693
hdd,rw,4k,8,500,47,0.19,72.44,308.28,530.58,47,0.18,96.45,393,642
hdd,rw,4k,8,600,104,0.41,33.81,168.82,274.73,104,0.41,42.89,207,317
hdd,rw,4k,16,1,200,0.78,37.78,85.46,113.77,200,0.78,42.11,92,122
hdd,rw,4k,16,158,164,0.64,45.69,100.14,299.89,165,0.65,51.24,110,326
hdd,rw,4k,16,316,139,0.54,53.78,166.72,379.58,139,0.54,61.05,209,422
